folder,network,accuracy,precision,sensitivity,specificity,fmeasure,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_fmeasure,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
11,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,0.9999999999999999,960,0,0,960,20.22746992111206,0.49375,0.49667405764966743,0.9333333333333333,0.05416666666666667,0.6483357452966715,0.4482758605231867,-0.026232155906770003,0.5056597222222223,13,227,16,224,0.026118993759155273
12,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,29.11524796485901,0.6520833333333333,0.6102719033232629,0.8416666666666667,0.4625,0.7075306479859895,0.7449664424530427,0.3287121288590308,0.727873263888889,111,129,38,202,0.27991151809692383
13,RandomForest,0.9848958333333333,0.9936373276776246,0.9760416666666667,0.99375,0.9847609038360483,0.9764585464711916,0.9699437585314742,0.9993798828125,954,6,23,937,19.177134037017822,0.5666666666666667,0.5516129032258065,0.7125,0.42083333333333334,0.6218181818181818,0.5941176467093425,0.13939418939809026,0.5852170138888889,101,139,69,171,0.0034706592559814453
14,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,0.9999999999999999,960,0,0,960,22.05366086959839,0.625,0.6027397260273972,0.7333333333333333,0.5166666666666667,0.6616541353383458,0.6595744677342689,0.25608308911001115,0.6689149305555555,124,116,64,176,0.02726888656616211
15,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,20.732471704483032,0.525,0.5131578947368421,0.975,0.075,0.6724137931034483,0.749999996875,0.11470786693528087,0.560625,18,222,6,234,0.02587890625
16,RandomForest,0.9869791666666666,0.9957582184517497,0.978125,0.9958333333333333,0.9868628481345244,0.9785056293778398,0.9741110786540584,0.9992963324652777,956,4,21,939,19.01179575920105,0.5625,0.5694444444444444,0.5125,0.6125,0.5394736842105262,0.5568181816072658,0.1256297269074015,0.5799218749999999,147,93,117,123,0.003481626510620117
17,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,20.653302669525146,0.5583333333333333,0.533175355450237,0.9375,0.17916666666666667,0.6797583081570997,0.7413793090665873,0.1789731199819986,0.6357291666666668,43,197,15,225,0.027074337005615234
18,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,19.135628700256348,0.56875,0.5632183908045977,0.6125,0.525,0.5868263473053892,0.5753424654907112,0.13802940910084371,0.6174131944444444,126,114,93,147,0.02835369110107422
19,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,20.47731590270996,0.6166666666666667,0.5782122905027933,0.8625,0.37083333333333335,0.6923076923076924,0.7295081961233539,0.2679579202392752,0.6430902777777778,89,151,33,207,0.028482437133789062
20,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,20.496776819229126,0.6145833333333334,0.5774647887323944,0.8541666666666666,0.375,0.6890756302521008,0.7199999994240001,0.26109196480264774,0.6387586805555556,90,150,35,205,0.028267860412597656
21,RandomForest,0.9854166666666667,0.9957446808510638,0.975,0.9958333333333333,0.9852631578947368,0.9755102039820909,0.9710440862574122,0.9992605251736111,956,4,24,936,19.436200857162476,0.58125,0.5635179153094463,0.7208333333333333,0.44166666666666665,0.6325411334552102,0.6127167626516088,0.16922805685294717,0.6461892361111111,106,134,67,173,0.003400087356567383
22,RandomForest,0.9875,0.9957627118644068,0.9791666666666666,0.9958333333333333,0.9873949579831932,0.979508196620952,0.9751354448850044,0.999189453125,956,4,20,940,18.630220651626587,0.4979166666666667,0.4983164983164983,0.6166666666666667,0.37916666666666665,0.5512104283054003,0.49726775929111056,-0.004289396869345461,0.5290017361111111,91,149,92,148,0.003496885299682617
23,RandomForest,0.9880208333333333,0.9926393270241851,0.9833333333333333,0.9927083333333333,0.9879644165358451,0.9834881319934481,0.976084561950312,0.999123263888889,953,7,16,944,19.10995316505432,0.5583333333333333,0.548951048951049,0.6541666666666667,0.4625,0.5969581749049431,0.5721649481586779,0.11887051651780607,0.5839583333333334,111,129,83,157,0.0035829544067382812
24,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,20.647679805755615,0.6291666666666667,0.5895953757225434,0.85,0.4083333333333333,0.6962457337883959,0.731343283036311,0.2879394965156688,0.6757725694444444,98,142,36,204,0.028150081634521484
25,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,19.47967529296875,0.5770833333333333,0.5565749235474006,0.7583333333333333,0.3958333333333333,0.6419753086419752,0.6209150322739118,0.16541775877562429,0.6425,95,145,58,182,0.028214454650878906
26,RandomForest,0.9890625,0.9978791092258749,0.9802083333333333,0.9979166666666667,0.9889647924330004,0.980552712284488,0.9782783987766426,0.999319118923611,958,2,19,941,18.6683611869812,0.60625,0.5894736842105263,0.7,0.5125,0.64,0.6307692304457594,0.21633681941176444,0.643498263888889,123,117,72,168,0.0034003257751464844
27,RandomForest,0.9880208333333333,0.9957671957671957,0.9802083333333333,0.9958333333333333,0.9879265091863516,0.9805128204122552,0.9761608341986004,0.9992545572916666,956,4,19,941,20.392781972885132,0.5458333333333333,0.5286458333333334,0.8458333333333333,0.24583333333333332,0.6506410256410257,0.6145833326931424,0.11458333333333333,0.5685590277777778,59,181,37,203,0.0032372474670410156
28,RandomForest,0.990625,0.9968354430379747,0.984375,0.996875,0.9905660377358491,0.984567901133275,0.981326669141032,0.9993495008680556,957,3,15,945,19.07530117034912,0.5979166666666667,0.5750798722044729,0.75,0.44583333333333336,0.6509945750452081,0.6407185624905877,0.20557365315035755,0.6005208333333333,107,133,60,180,0.003440380096435547
