folder,network,accuracy,precision,sensitivity,specificity,fmeasure,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_fmeasure,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
20,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4970405101776123,0.6354166666666666,0.5880758807588076,0.9041666666666667,0.36666666666666664,0.7126436781609194,0.7927927920785651,0.32117274545052094,0.7113368055555556,88,152,23,217,0.0044727325439453125
21,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.524134397506714,0.6020833333333333,0.5584725536992841,0.975,0.22916666666666666,0.7101669195751139,0.9016393427841978,0.30649553422601294,0.7638715277777778,55,185,6,234,0.005154609680175781
22,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4386446475982666,0.5291666666666667,0.5153508771929824,0.9791666666666666,0.07916666666666666,0.6752873563218392,0.7916666633680556,0.1338258447578277,0.6258506944444444,19,221,5,235,0.004325389862060547
23,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4345273971557617,0.5958333333333333,0.5608465608465608,0.8833333333333333,0.30833333333333335,0.686084142394822,0.7254901953671665,0.23426739368498734,0.6692013888888888,74,166,28,212,0.004890918731689453
24,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.6242871284484863,0.61875,0.5721518987341773,0.9416666666666667,0.29583333333333334,0.7118110236220472,0.8352941166643599,0.3110762428899763,0.7267187499999999,71,169,14,226,0.004592180252075195
25,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.6274423599243164,0.5958333333333333,0.5793103448275863,0.7,0.49166666666666664,0.6339622641509434,0.6210526312520775,0.1959665885074603,0.6553472222222222,118,122,72,168,0.004866361618041992
26,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.538045644760132,0.5916666666666667,0.5531400966183575,0.9541666666666667,0.22916666666666666,0.7003058103975536,0.8333333320707071,0.2661831365015635,0.7343923611111112,55,185,11,229,0.004338502883911133
27,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.518355369567871,0.5291666666666667,0.515695067264574,0.9583333333333334,0.1,0.6705539358600584,0.7058823508650519,0.11368970715065682,0.5840798611111111,24,216,10,230,0.004626035690307617
28,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.585381507873535,0.5958333333333333,0.5614973262032086,0.875,0.31666666666666665,0.6840390879478827,0.7169811313990745,0.23103038292992342,0.6638715277777777,76,164,30,210,0.004436492919921875
29,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.5621936321258545,0.6166666666666667,0.5740740740740741,0.9041666666666667,0.32916666666666666,0.7022653721682848,0.7745098031622454,0.2851950879643324,0.7285416666666666,79,161,23,217,0.004428863525390625
30,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.6750874519348145,0.5958333333333333,0.5560975609756098,0.95,0.24166666666666667,0.7015384615384616,0.8285714273877551,0.2715294146064394,0.7251215277777777,58,182,12,228,0.00456690788269043
31,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.7261435985565186,0.6708333333333333,0.66015625,0.7041666666666667,0.6375,0.6814516129032259,0.6830357139807877,0.3424284662002937,0.7670659722222223,153,87,71,169,0.004578113555908203
32,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.759000539779663,0.6541666666666667,0.6051136363636364,0.8875,0.42083333333333334,0.7195945945945945,0.789062499383545,0.3486224921680392,0.7465625,101,139,27,213,0.0044708251953125
33,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4633991718292236,0.7375,0.7394957983193278,0.7333333333333333,0.7416666666666667,0.7364016736401673,0.7355371897787036,0.4750164939146186,0.8190277777777779,178,62,64,176,0.00514674186706543
34,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.576343536376953,0.6666666666666666,0.6834862385321101,0.6208333333333333,0.7125,0.6506550218340611,0.6526717554760795,0.33474268438971694,0.7278125,171,69,91,149,0.0047435760498046875
35,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.817192554473877,0.6583333333333333,0.6407407407407407,0.7208333333333333,0.5958333333333333,0.6784313725490196,0.6809523806281179,0.3191699994300141,0.6996701388888891,143,97,67,173,0.004510402679443359
36,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.8422749042510986,0.6833333333333333,0.6242937853107344,0.9208333333333333,0.44583333333333336,0.744107744107744,0.849206348532376,0.4166733924665665,0.761892361111111,107,133,19,221,0.004431962966918945
37,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.532466411590576,0.6145833333333334,0.5779036827195467,0.85,0.37916666666666665,0.6880269814502529,0.7165354325066651,0.25976071816571805,0.6859201388888889,91,149,36,204,0.0044879913330078125
38,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.7769887447357178,0.6125,0.5906040268456376,0.7333333333333333,0.49166666666666664,0.654275092936803,0.6483516479954112,0.23187286801044518,0.6990798611111111,118,122,64,176,0.004386186599731445
39,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.741595506668091,0.5979166666666667,0.5650969529085873,0.85,0.3458333333333333,0.6788685524126457,0.6974789910105219,0.2267622597911891,0.6934201388888889,83,157,36,204,0.004452228546142578
