folder,network,accuracy,precision,sensitivity,specificity,fmeasure,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_fmeasure,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
11,KNN,0.8494791666666667,0.8588235294117647,0.8364583333333333,0.8625,0.8474934036939312,0.8406091369704966,0.6991954596771096,0.9227772352430555,828,132,157,803,20.51489567756653,0.5125,0.5087719298245614,0.725,0.3,0.5979381443298969,0.5217391300567108,0.027618408833305377,0.5290104166666667,72,168,66,174,0.1268458366394043
12,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,21.15380835533142,0.5625,0.55859375,0.5958333333333333,0.5291666666666667,0.5766129032258065,0.5669642854611767,0.12527870714644893,0.5625,127,113,97,143,0.1202247142791748
13,KNN,0.675,0.733983286908078,0.5489583333333333,0.8010416666666667,0.6281287246722289,0.6397670548552606,0.36168027266606256,0.7553548177083333,769,191,433,527,23.42742609977722,0.54375,0.5450643776824035,0.5291666666666667,0.5583333333333333,0.5369978858350952,0.5425101212378501,0.08753724164457471,0.5727170138888888,134,106,113,127,0.5882599353790283
14,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,22.528519868850708,0.61875,0.6192468619246861,0.6166666666666667,0.6208333333333333,0.6179540709812108,0.6182572611542501,0.23750206165878898,0.61875,149,91,92,148,0.12847375869750977
15,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,23.025693655014038,0.5645833333333333,0.5501618122977346,0.7083333333333334,0.42083333333333334,0.6193078324225866,0.5906432745083958,0.13486038616685542,0.5645833333333334,101,139,70,170,0.1271357536315918
16,KNN,0.7479166666666667,0.784688995215311,0.6833333333333333,0.8125,0.7305122494432073,0.7195571955055758,0.5000220691116407,0.8329313151041667,780,180,304,656,24.174574375152588,0.6229166666666667,0.625531914893617,0.6125,0.6333333333333333,0.6189473684210526,0.6204081630120784,0.24588669995359366,0.6719270833333333,152,88,93,147,0.1503925323486328
17,KNN,0.8036458333333333,0.8271604938271605,0.7677083333333333,0.8395833333333333,0.7963263101026472,0.783284742392295,0.6088664097802307,0.8864995659722222,806,154,223,737,24.563102960586548,0.5770833333333333,0.5618729096989966,0.7,0.45416666666666666,0.6233766233766235,0.6022099444186686,0.1590474983385988,0.6235590277777778,109,131,72,168,0.13440346717834473
18,KNN,0.7515625,0.851528384279476,0.609375,0.89375,0.7103825136612023,0.6958637469022008,0.5247920216897126,0.8561762152777778,858,102,375,585,25.979041576385498,0.5979166666666667,0.6516129032258065,0.42083333333333334,0.775,0.5113924050632911,0.5723076921315976,0.2094065820964331,0.6444878472222222,186,54,139,101,0.2448406219482422
19,KNN,0.8072916666666666,0.8165236051502146,0.7927083333333333,0.821875,0.8044397463002113,0.7985829958705888,0.6148449115511795,0.8721283637152778,789,171,199,761,27.69576668739319,0.6125,0.6125,0.6125,0.6125,0.6125,0.6124999997447916,0.225,0.6385156249999999,147,93,93,147,0.599297285079956
20,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,27.48231840133667,0.6041666666666666,0.5961538461538461,0.6458333333333334,0.5625,0.62,0.613636363357438,0.2090605025017727,0.6041666666666667,135,105,85,155,0.12869739532470703
21,KNN,0.80625,0.8348519362186788,0.7635416666666667,0.8489583333333334,0.7976060935799784,0.7821497120170681,0.6147467036026877,0.8882052951388889,815,145,227,733,28.198562145233154,0.6541666666666667,0.6504065040650406,0.6666666666666666,0.6416666666666667,0.6584362139917695,0.6581196578384104,0.3084297326895525,0.7117881944444445,154,86,80,160,0.18427348136901855
22,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,28.3255455493927,0.6020833333333333,0.5740181268882175,0.7916666666666666,0.4125,0.6654991243432574,0.6644295297554165,0.22064238786428095,0.6489930555555556,99,141,50,190,0.12213873863220215
23,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,30.36885952949524,0.5833333333333334,0.5819672131147541,0.5916666666666667,0.575,0.5867768595041322,0.5847457624640908,0.16668981963846227,0.5833333333333333,138,102,98,142,0.12879395484924316
24,KNN,0.8083333333333333,0.8333333333333334,0.7708333333333334,0.8458333333333333,0.8008658008658008,0.7868217053501141,0.6184083930288102,0.8874066840277778,812,148,220,740,31.579925775527954,0.6395833333333333,0.645021645021645,0.6208333333333333,0.6583333333333333,0.6326963906581742,0.6345381523556072,0.27936316299569197,0.6843489583333334,158,82,91,149,0.12496161460876465
25,KNN,0.7354166666666667,0.8121546961325967,0.6125,0.8583333333333333,0.6983372921615202,0.6889632106447354,0.4857396570881531,0.8225981987847223,824,136,372,588,32.0570330619812,0.56875,0.582089552238806,0.4875,0.65,0.5306122448979592,0.559139784745828,0.13935219360649959,0.6044097222222222,156,84,123,117,0.12508869171142578
26,KNN,0.8151041666666666,0.8433598183881952,0.7739583333333333,0.85625,0.8071700162954916,0.7911453319739031,0.6323530923061113,0.8888731553819444,822,138,217,743,32.67051601409912,0.625,0.6190476190476191,0.65,0.6,0.6341463414634146,0.6315789470914127,0.2503130871608794,0.6576215277777779,144,96,84,156,0.13442111015319824
27,KNN,0.7473958333333334,0.7979924717691342,0.6625,0.8322916666666667,0.7239612976664768,0.7114870880933671,0.5020819062546616,0.8303987630208334,799,161,324,636,33.616902351379395,0.5708333333333333,0.5544871794871795,0.7208333333333333,0.42083333333333334,0.6268115942028984,0.6011904758326247,0.14850701853560508,0.6148003472222222,101,139,67,173,0.12195515632629395
28,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,34.17816495895386,0.5520833333333334,0.5451263537906137,0.6291666666666667,0.475,0.5841392649903288,0.5615763544031643,0.10542706230218313,0.5520833333333333,114,126,89,151,0.12797021865844727
29,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,34.856587171554565,0.6354166666666666,0.6254826254826255,0.675,0.5958333333333333,0.6492985971943889,0.647058823236625,0.27168604879056035,0.6354166666666667,143,97,78,162,0.134598970413208
30,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,38.892136573791504,0.5645833333333333,0.5567765567765568,0.6333333333333333,0.49583333333333335,0.5925925925925927,0.5748792267754207,0.1304052864904992,0.5645833333333333,119,121,88,152,0.5672874450683594
31,KNN,0.8223958333333333,0.8345945945945946,0.8041666666666667,0.840625,0.8190981432360743,0.8110552763003965,0.6452206261350132,0.8902164713541666,807,153,188,772,38.65657997131348,0.5895833333333333,0.5981735159817352,0.5458333333333333,0.6333333333333333,0.5708061002178648,0.5823754787040707,0.17985650276776605,0.6449739583333333,152,88,109,131,0.11533045768737793
32,KNN,0.8416666666666667,0.851931330472103,0.8270833333333333,0.85625,0.8393234672304439,0.8319838055838074,0.6836241728433454,0.9116438802083333,822,138,166,794,38.86839938163757,0.6291666666666667,0.6201550387596899,0.6666666666666666,0.5916666666666667,0.6425702811244979,0.6396396393515137,0.2590629754580151,0.6607465277777778,142,98,80,160,0.13807010650634766
33,KNN,0.8427083333333333,0.8671875,0.809375,0.8760416666666667,0.8372844827586206,0.8212890624197959,0.6869449108530282,0.9132204861111111,841,119,183,777,40.14680218696594,0.6354166666666666,0.6294820717131474,0.6583333333333333,0.6125,0.6435845213849287,0.6419213970995976,0.27111825134561446,0.6622048611111111,147,93,82,158,0.1213524341583252
34,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,40.541173696517944,0.5,0.0,0.0,1.0,0.0,0.4999999998958333,0.0,0.5,240,0,240,0,0.11265230178833008
35,KNN,0.75625,0.7873831775700935,0.7020833333333333,0.8104166666666667,0.7422907488986783,0.7312030074500748,0.5155341112458577,0.8341715494791667,778,182,286,674,41.57035040855408,0.625,0.6415094339622641,0.5666666666666667,0.6833333333333333,0.6017699115044247,0.6119402982791267,0.25171895661120103,0.6732986111111111,164,76,104,136,0.12785863876342773
