Name,ChiSquareRanking
wavelet_LL_firstorder_Median,0.218863426987427
log_sigma_6_0_mm_3D_firstorder_Entropy,0.218403492048493
original_firstorder_Mean,0.217483977253264
log_sigma_5_mm_3D_glszm_SmallAreaHighGrayLevelEmphasis,0.216564938166966
log_sigma_6_0_mm_3D_glcm_JointEnergy,0.216564938166966
log_sigma_3_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.21610559786966
log_sigma_1_5_mm_3D_firstorder_Mean,0.216105597869659
wavelet_LL_firstorder_Mean,0.214957772691992
log_sigma_6_0_mm_3D_firstorder_RobustMeanAbsoluteDeviation,0.214957772691992
log_sigma_4_5_mm_3D_glrlm_RunLengthNonUniformity,0.213352087329287
log_sigma_5_mm_3D_glszm_SizeZoneNonUniformity,0.212841762343354
wavelet_LL_gldm_LowGrayLevelEmphasis,0.212206083747933
log_sigma_3_5_mm_3D_firstorder_Mean,0.212206083747933
original_gldm_LowGrayLevelEmphasis,0.211747897157738
log_sigma_2_5_mm_3D_firstorder_90Percentile,0.211518850079391
log_sigma_3_5_mm_3D_ngtdm_Busyness,0.21128983387221
log_sigma_3_mm_3D_firstorder_Energy,0.21128983387221
log_sigma_3_mm_3D_firstorder_TotalEnergy,0.21128983387221
log_sigma_5_5_mm_3D_firstorder_InterquartileRange,0.211289833872209
log_sigma_6_0_mm_3D_glszm_SmallAreaHighGrayLevelEmphasis,0.210831894251905
log_sigma_5_5_mm_3D_glcm_MaximumProbability,0.210602970929315
original_glcm_JointAverage,0.209687588616867
original_glcm_SumAverage,0.209687588616867
log_sigma_5_mm_3D_firstorder_RobustMeanAbsoluteDeviation,0.209687588616867
log_sigma_5_mm_3D_glcm_DifferenceEntropy,0.209687588616866
log_sigma_5_5_mm_3D_firstorder_Uniformity,0.208315453118641
log_sigma_6_0_mm_3D_glcm_DifferenceEntropy,0.207858326220376
log_sigma_3_mm_3D_gldm_DependenceVariance,0.207629810155463
original_firstorder_RootMeanSquared,0.207401325742295
log_sigma_6_0_mm_3D_firstorder_MeanAbsoluteDeviation,0.207172873027703
log_sigma_5_mm_3D_glszm_ZonePercentage,0.206676126992816
wavelet_LL_firstorder_90Percentile,0.206487705545232
log_sigma_3_5_mm_3D_ngtdm_Strength,0.203977889846225
wavelet_LL_firstorder_RootMeanSquared,0.203066198631786
log_sigma_5_mm_3D_firstorder_Median,0.202838357226991
log_sigma_4_5_mm_3D_firstorder_MeanAbsoluteDeviation,0.20169964104501
log_sigma_4_5_mm_3D_gldm_SmallDependenceEmphasis,0.201699641045009
log_sigma_3_mm_3D_glrlm_ShortRunEmphasis,0.201016805785646
original_glcm_Autocorrelation,0.200789260071865
log_sigma_4_mm_3D_glszm_SmallAreaHighGrayLevelEmphasis,0.200789260071864
log_sigma_4_mm_3D_firstorder_Mean,0.200334268002858
